ISO,VEHC_rate
AFG,0.0005999999999999998
AGO,9.200161284166952e-05
ALB,0.00020451301115876456
AND,0.0005999999999999589
ARE,2.5190947683072652e-05
ARG,0.00010366501237939622
ARM,0.0005288267529920755
AUS,4.5714542145920696e-05
AUT,6.105492213688435e-05
AZE,0.00011922524349571107
BDI,4.81921419581805e-31
BEL,5.7234434581880886e-05
BEN,0.00032754716585783005
BFA,0.0002092089593572735
BGD,8.637148472510393e-41
BGR,0.00017254062943819256
BHR,8.290296233535954e-05
BHS,3.76432828147895e-05
BIH,0.0002596530011670587
BLR,0.00015961366650087946
BLZ,0.00011949041826565018
BMU,8.34075640928834e-06
BOL,0.00010839842987390446
BRA,8.046015578417716e-05
BRB,7.200739703434227e-05
BRN,0.0005999999999999998
BWA,0.0002799568253025764
CAN,3.120269500515015e-05
CHE,3.75189497789125e-05
CHL,6.602861662043203e-05
CHN,0.00016901107478358145
CIV,0.0002563541874579669
CMR,0.00010098232958223324
COD,0.0005999999999999998
COL,7.451559918844126e-05
CRI,0.00014047891758722984
CUB,3.4536680531728863e-06
CYP,7.390523794938603e-05
CZE,7.216955224442793e-05
DEU,7.128888497263083e-05
DNK,1.5082470539289138e-05
DOM,7.326711902262237e-05
DZA,0.0001659818020101893
ECU,9.651781802242744e-05
EGY,0.00012195000351711284
ESP,8.662861212663939e-05
EST,6.535655534676136e-05
ETH,4.733041708051445e-34
FIN,2.8193746849660244e-05
FRA,6.021478183144006e-05
GBR,2.807481764377061e-05
GEO,0.0003015909148263577
GHA,0.00023244433257758486
GRC,8.520341459868269e-05
GTM,0.00015533230957236088
GUM,8.720513419782973e-05
HKG,2.7013649911755777e-05
HND,7.176675842481817e-37
HRV,0.0001374038673102971
HTI,3.406859620693653e-37
HUN,7.627728145938526e-05
IDN,0.0002059130063366028
IND,6.620920574936109e-05
IRL,1.7968499839059013e-05
IRN,0.00017550475772078634
IRQ,4.417034284130461e-05
ISL,3.968599258709311e-05
ISR,5.11095731986441e-05
ITA,0.0001199313185100493
JAM,5.991196353424812e-05
JOR,0.0001783287526342356
JPN,8.890031669407131e-05
KAZ,9.849631010860629e-05
KEN,0.00024682970012249536
KGZ,0.0005999999999999998
KOR,9.305676789012983e-05
KWT,5.993952415139036e-05
LBN,8.796354306278793e-05
LBR,5.595073621337927e-21
LBY,0.0005999999999999998
LKA,9.847208179818976e-05
LTU,9.063025912497214e-05
LUX,0.000597
LVA,5.7088250667053574e-05
MAR,0.00020983009611181386
MDA,0.0002094752930128485
MDG,0.0001556047478367131
MEX,0.0001438980067995891
MKD,0.0002489130193049421
MLI,0.00018750199002377275
MLT,0.00017027416122541924
MNE,0.0002336709241530508
MOZ,0.0003074447904876657
MRT,9.028410903973896e-17
MUS,0.00011793039827469974
MWI,1.1543504728426458e-25
MYS,0.0003277833692937629
NGA,0.00012709938411837595
NIC,0.00014774261636216717
NLD,4.525688289909802e-05
NOR,1.2751820394262085e-05
NZL,7.051082494997778e-05
OMN,5.629816164335065e-05
PAK,6.773126173167708e-05
PAN,0.00010633966211328381
PER,7.540243189748642e-05
PHL,0.00024950817805859576
POL,0.00011496131184724373
PRI,8.86676159227865e-05
PRT,0.00011640181168470054
PRY,0.00010685503944450274
PSE,8.049523957839943e-05
QAT,2.3383335296835408e-05
ROU,8.881407697953572e-05
RUS,7.708810326210104e-05
SAU,3.7543730876242736e-05
SDN,1.2245612898423091e-39
SEN,0.0002718263176522882
SGP,2.7525013358860382e-05
SLV,5.017832778331101e-05
SRB,0.00024191681305605947
SUR,0.00013807945631617275
SVK,6.611307555403848e-05
SVN,0.00012926060046726325
SWE,2.241759683520659e-05
TGO,0.0005999999999998572
THA,0.00020741104247648125
TJK,0.00040983607614148885
TKM,0.00014113898924207274
TTO,6.399362655417543e-05
TUN,0.0002007418891059889
TUR,6.0884953065626014e-05
TZA,1.4567479837330882e-27
UGA,7.247054922086848e-30
UKR,0.00016511011213579536
URY,8.862940745671824e-05
USA,2.1167995826735115e-05
UZB,0.0002070324232112275
VEN,5.9151049090541104e-05
VNM,0.0002559232359901635
YEM,1.9448757989743563e-15
ZAF,0.00029468231641798887
ZMB,0.0001921896615932931
ZWE,0.0005999999999998803
